Jurisdiction,Lat,Lon,Status,Need_Index,Viability_Score,Funding_Category,Funding_Detail,Demographic,Intake_Partner,Disbursement_Partner,Vendor_Rationale,Cohort_Size,Disbursement_Monthly,Timeline,Need_Math,Viability_Math,Rationale,Deployment_Playbook,Effectiveness_Score,Eval_Summary,Eval_Link,Opportunity_Score
"King County, WA (GRIT)",47.6062,-122.3321,Active Pilot,70,92,Public / Private Mix,King County Regional Funds & United Way PNW,General Low-Income,AidKit,United Way PNW,ARPA-backed regional funds required strict federal eligibility screening handled by an enterprise platform.,110,$500,2021 – Present,Housing Cost Burden (32) + Cost of Living (23) + Cliff Risk (15) = 70,Base (100) - Preemption (0) - Waiver Gaps (-8) = 92,Regional coalition pilot specifically targeting housing displacement in King County.,WHO: King County Human Services. WHAT: Scale regional cross-agency safety-net exemptions. WHEN: Q4 2026.,,,,83.2
"Tacoma, WA (GRIT 1.0 & 2.0)",47.2529,-122.4443,Completed,74,90,Public / Private Mix,City of Tacoma & Mayors for a Guaranteed Income,Families / ALICE,Mayors for GI,Usio,Centralized intake for multi-city pilots to standardize academic RCT data.,110,$500,Nov 2021 – Jun 2023,ALICE Population Gap (34) + Housing Cost (24) + Cliff Risk (16) = 74,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,Targeted ALICE households navigating benefits cliffs.,,91.0,Evaluated by CGIR. 100% of participants maintained or improved housing stability.,https://www.uwpc.org/grit,83.6
"Providence, RI (Guaranteed Income)",41.824,-71.4128,Completed,82,90,Public / Private Mix,Private Philanthropy & City ARPA Extension,General Low-Income,Amos House,Commercial Fintech,Administered by local CBO Amos House and evaluated by UPenn CGIR.,110,$500,Nov 2021 – Apr 2023,Urban Poverty (35) + Housing Cost (27) + Cliff Risk (20) = 82,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,"Providence pilot successfully concluded after 18 months, proving significant economic stability gains for low-income residents.",,92.0,Evaluated by UPenn CGIR. Demonstrated a 46% average increase in income volatility cushioning and high spending in food and retail.,https://www.penncgir.org/providence-gi-providence-ri,86.8
"St. Louis, MO (STL GBI)",38.627,-90.1994,Active Pilot,88,68,Public ARPA,City of St. Louis ARPA Allocation ($5M via Mayor Tishaura Jones),Families / Parents,FORWARD,MoCaFi,Enterprise SaaS selected to prevent ARPA fraud and handle multi-agency duplication checks; specialized fintech provided unbanked access.,540,$500,Dec 2023 – Present,Child Poverty (38) + Housing Cost (26) + Cliff Risk (24) = 88,Base (100) - State Scrutiny (-20) - Waiver Gaps (-12) = 68,Targeting parents/guardians with children enrolled in St. Louis Public Schools.,WHO: St. Louis Mayor. WHAT: Fortify public reporting to defend pilot legitimacy against state preemption bills. WHEN: Immediate.,,,,76.0
"Cook County, IL (Promise)",41.8159,-87.8778,Active Pilot,82,92,Public Municipal,$7.5M Permanent County Budget Line (Originally $42M ARPA),General Low-Income,AidKit,GiveDirectly,"Enterprise software (AidKit) procured for federal-grade compliance dashboards, routing capital through GiveDirectly.",3250,$500,Nov 2025 – Present (Permanent),Child Poverty (35) + Housing Cost (27) + Cliff Risk (20) = 82,Base (100) - Preemption (0) - Permanent Budget (+4) = 92,Transitioned from $42M ARPA pilot to become the first permanent county-level UBI program in the US.,WHO: Bureau of Economic Dev. WHAT: Provide long-term SaaS compliance tracking as permanent funding scales.,,,,88.0
"Chicago, IL (Resilient Communities)",41.8781,-87.6298,Completed,84,88,Public ARPA,Federal ARPA Municipal Allocation ($31.5M),General Low-Income,AidKit / YWCA,GiveDirectly,"City utilized AidKit and trusted local nonprofits for intake to overcome government distrust, while GiveDirectly executed the massive $31M ARPA payout.",5000,$500,Apr 2022 – Apr 2023,Pandemic Impact (40) + Housing Cost (24) + Cliff Risk (20) = 84,Base (100) - Preemption (0) - Waiver Gaps (-12) = 88,One of the largest municipal cash assistance pilots in modern US history.,,89.0,Evaluated by the UChicago Inclusive Economy Lab. Food insecurity dropped by 14 percentage points.,https://inclusiveeconomy.uchicago.edu/research/chicago-resilient-communities-pilot/,86.4
"Evanston, IL (GI Pilot)",42.0451,-87.6877,Completed,65,90,Public Municipal,Municipal ARPA Funds & Northwestern University,Families / Parents,City of Evanston / Northwestern,Unknown,City prioritized a local academic partnership with Northwestern University to track program outcomes.,150,$500,2022 – 2023,Socioeconomic Disparity (25) + Housing Cost (25) + Cliff Risk (15) = 65,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,"Targeted low-income residents, young adults, and seniors; supported by Northwestern research.",,88.0,Demonstrated immediate reduction in financial stress and sustained utility payment compliance.,https://www.cityofevanston.org/,80.0
"Stockton, CA (SEED)",37.9577,-121.2908,Completed,78,95,Private Philanthropy,Economic Security Project & Private Philanthropy,General Low-Income,Economic Security Project,Usio,Philanthropic model optimized for speed and academic tracking without Treasury reporting.,125,$500,Feb 2019 – Feb 2021,Historic Poverty Baseline (35) + Housing Cost (25) + Cliff Risk (18) = 78,Base (100) - Preemption (0) - Waiver Gaps (-5) = 95,Landmark demonstration proving cash transfers increased full-time employment.,,94.0,Evaluated by the Stanford Basic Income Lab. Full-time employment rose by 12%; 40% of funds spent on food.,https://sbilab.stanford.edu/research/stockton-economic-empowerment-demonstration-seed,88.2
"Los Angeles County, CA (Breathe)",34.0522,-118.2437,Active Pilot,86,94,Public ARPA,County General Fund & Federal ARPA mix,Youth / Foster,AidKit,Usio,Complex academic RCT required AidKit's highly customizable intake routing and secure data handling.,1000,"$1,000",Jan 2022 – Present,Foster Instability (38) + Housing Cost (30) + Cliff Risk (18) = 86,Base (100) - Preemption (0) - Waiver Gaps (-6) = 94,Multi-year public pilot targeting transition-age foster youth and low-income families.,WHO: County Supervisors. WHAT: Expand longitudinal tracking for youth employment outcomes.,,,,90.8
"San Francisco, CA (Abundant Birth)",37.7749,-122.4194,Active Pilot,88,93,Public / Private Mix,SF Dept of Public Health & Private Donors,Maternal Health,SF Dept of Public Health,Usio,In-house public health intake ensured seamless integration with Medi-Cal exemption protocols.,150,"$1,000",Dec 2020 – Present,Racial Birth Disparities (39) + Housing Cost (29) + Cliff Risk (20) = 88,Base (100) - Preemption (0) - Waiver Gaps (-7) = 93,"Provides $1,000/month to expectant mothers to combat systemic maternal health inequities.",WHO: SF Dept of Public Health. WHAT: Expand statewide Medi-Cal exemption integration.,,,,91.0
